area,codigo_programa,ies,nome_programa,inicio_mestrado,inicio_doutorado,conceito_atual,conceito_recomendado,conceito_ctc,conceito_rec,q2_q5,itens_q2_q5,itens_q3_q4,docentes_ano_2001_2003,docentes_ano_2004_2006,docentes_ano_2001_2006,Teses_2001_2003,Diss_2001_2003,Teses_2004_2006,Diss_2004_2006,Teses_2001_2006,Diss_2001_2006,di_te_2001_2003,di_te_2004_2006,di_te_2001_2006,egressos_mestrado_97_01,egr_m_tit_dou_97_01,n_esp_dout_97_01,escore_1,egressos_dout_97_03,egressos_doc_ppg_97_03,n_esp_doc_ppg_97_03,Escore_2,doc_ies_dif,perc_doc_dif_doc_ppg,bolsistas_prod,docentes,perc_bols_doc,Escore_3,DataHoraRegistro
1,31008011001P9,IMPA-OS,MATEMÃTICA,1962.0,1962.0,7,7,7.0,,5.0,5.0,5.0,92,177,269,38,65,38,91,76.0,156.0,1.710526316,2.394736842,2.052631579,51.0,24.0,12.224,74.38445135,80.0,30.0,26.648,58.30200443,27.0,90.0,29.0,43.0,67.44186047,97.17374116,2023-11-29 15:41:58.762555
1,33003017003P5,UNICAMP,MATEMÃTICA,1972.0,1976.0,7,7,7.0,,5.0,5.0,5.0,97,167,264,24,33,48,37,72.0,70.0,1.375,0.770833333,0.972222222,43.0,16.0,11.063,62.7472517,53.0,24.0,17.056,69.98831813,21.0,87.5,18.0,38.0,47.36842105,59.58934796,2023-11-29 15:41:58.762555
1,33002010007P4,USP,ESTATÃSTICA,1970.0,1970.0,6,7,7.0,,5.0,5.0,5.0,64,107,171,21,29,35,52,56.0,81.0,1.380952381,1.485714286,1.446428571,54.0,13.0,13.353,50.09492211,47.0,25.0,15.762,76.8191131,19.0,76.0,13.0,28.0,46.42857143,70.39810388,2023-11-29 15:41:58.762555
1,53001010003P2,UNB,MATEMÃTICA,1971.0,1975.0,6,7,6.0,7.0,5.0,5.0,5.0,62,78,140,9,34,20,43,29.0,77.0,3.777777778,2.15,2.655172414,61.0,15.0,15.489,49.94224445,21.0,7.0,7.022,52.45859619,7.0,100.0,13.0,23.0,56.52173913,74.22872935,2023-11-29 15:41:58.762555
1,33002010005P1,USP,MATEMÃTICA,1970.0,1970.0,6,6,6.0,6.0,5.0,4.825,4.775,106,194,300,12,17,31,33,43.0,50.0,1.416666667,1.064516129,1.162790698,41.0,18.0,10.809,67.89521516,48.0,17.0,16.132,55.08333357,10.0,58.82352941,16.0,51.0,31.37254902,47.54703826,2023-11-29 15:41:58.762555
1,33002045003P5,USP/SC,MATEMÃTICA,1970.0,1970.0,5,6,6.0,,5.0,5.0,5.0,65,109,174,11,16,18,28,29.0,44.0,1.454545455,1.555555556,1.517241379,27.0,11.0,6.758,67.03713491,33.0,11.0,10.5,54.80161932,9.0,81.81818182,9.0,37.0,24.32432432,38.29026393,2023-11-29 15:41:58.762555
1,31001017003P7,UFRJ,MATEMÃTICA,1970.0,1972.0,5,6,5.0,6.0,5.0,4.7,4.65,89,100,189,16,18,22,23,38.0,41.0,1.125,1.045454545,1.078947368,30.0,8.0,7.646,52.21586027,45.0,3.0,14.155,2.232410369,2.0,66.66666667,16.0,30.0,53.33333333,70.55525875,2023-11-29 15:41:58.762555
1,33003017004P1,UNICAMP,MATEMÃTICA APLICADA,1977.0,1990.0,6,5,5.0,5.0,4.7,4.405,4.275,92,131,223,20,12,21,22,41.0,34.0,0.6,1.047619048,0.829268293,27.0,13.0,7.341,70.25592753,56.0,13.0,18.648,37.19726838,9.0,69.23076923,22.0,38.0,57.89473684,73.22058259,2023-11-29 15:41:58.762555
1,25001019003P0,UFPE,MATEMÃTICA,1967.0,1984.0,5,5,4.0,5.0,4.9,4.805,4.875,51,51,102,5,17,3,18,8.0,35.0,3.4,6.0,4.375,26.0,7.0,7.254,49.8396026,12.0,5.0,3.462,,5.0,100.0,6.0,10.0,60.0,86.55857931,2023-11-29 15:41:58.762555
1,42001013003P8,UFRGS,MATEMÃTICA,1978.0,1995.0,5,5,5.0,,5.0,4.835,4.825,33,56,89,7,15,7,22,14.0,37.0,2.142857143,3.142857143,2.642857143,35.0,10.0,8.413,56.16302589,10.0,3.0,2.713,,1.0,33.33333333,7.0,14.0,50.0,68.96710931,2023-11-29 15:41:58.762555
