Título,Ano,Country,Direção,Elenco,Gênero,Música,Photo,Produzido por,Roteiro,Yer
Persepolis,2007,n/a,"Vincent Paronnaud, Marjane Satrapi","Chiara Mastroianni, Catherine Deneuve, Danielle Darrieux",Animation | Comedy | Drama | History,Olivier Bernet,n/a,n/a,"Vincent Paronnaud, Marjane Satrapi",n/a
Trois couleurs - Rouge,1994,n/a,Krzysztof Kieslowski,"Irène Jacob, Jean-Louis Trintignant, Frédérique Feder, Jean-Pierre Lorit, Samuel Le Bihan",Drama,n/a,n/a,n/a,n/a,n/a
Les Misérables,1933,n/a,Raymond Bernard,n/a,Drama | History,n/a,n/a,n/a,n/a,n/a
"Au revoir, les enfants",1987,n/a,Louis Malle,n/a,Drama,n/a,n/a,n/a,n/a,n/a
La France,2007,n/a,Serge Bozon,"Sylvie Testud, Pascal Greggory, Guillaume Verdier",Drama | Musical | Romance | War,n/a,n/a,n/a,n/a,n/a
L'Atalante,1934,n/a,n/a,"Michel Simon, Dita Parlo, Jean Dasté",Drama | Romance,n/a,n/a,n/a,n/a,n/a
La môme,2007,n/a,Olivier Dahan,"Marion Cotillard, Sylvie Testud, Pascal Greggory, Emmanuelle Seigner, Jean-Paul Rouve, Gérard Depardieu",Biography | Drama | Music,n/a,n/a,n/a,n/a,n/a
MR 73,2008,n/a,n/a,"Daniel Auteuil, Olivia Bonamy, Catherine Marchal, Francis Renaud",Crime | Drama,n/a,n/a,n/a,n/a,n/a
Manon Des Sources,n/a,n/a,Claude Berri,"Yves Montand, Daniel Auteuil, Emmanuelle Béart",Drama | Romance,n/a,n/a,Pierre Grunstein,n/a,n/a
Un Coeur en Hiver,1992,n/a,Claude Sautet,"Daniel Auteuil, Emmanuelle Béart, André Dussollier",Drama | Romance | Music,n/a,n/a,n/a,n/a,n/a
Les Voleurs,1996,n/a,André Téchiné,"Catherine Deneuve, Daniel Auteuil, Laurence Côte, Benoît Magimel",Crime | Drama | Romance,n/a,n/a,n/a,n/a,n/a
Caché,2005,n/a,Michael Haneke,"Daniel Auteuil, Juliette Binoche, Maurice Bénichou",n/a,n/a,n/a,n/a,n/a,n/a
Jean de Florette,1986,n/a,Claude Berri,"Yves Montand, Gérard Depardieu, Daniel Auteuil",Historical drama,n/a,n/a,Pierre Grunstein,n/a,n/a
Le Ballon rouge,1956,n/a,n/a,n/a,Fantasy | Comedy | Drama,n/a,n/a,n/a,n/a,n/a
Casque d'or,1952,n/a,Jacques Becker,"Simone Signoret, Serge Reggiani, Claude Dauphin",Drama | Romance,n/a,n/a,n/a,n/a,n/a
Les Misérables,1925,n/a,Henri Fescourt,n/a,History | Drama,n/a,n/a,n/a,n/a,n/a
Napoléon,1927,n/a,Abel Gance,"Albert Dieudonné, Edmond Van Daële, Alexandre Koubitzky, Antonin Artaud, Abel Gance",History | Biography | Drama,n/a,n/a,n/a,n/a,n/a
Le pornographe,2001,n/a,n/a,Jean-Pierre Leaud,n/a,n/a,n/a,n/a,n/a,n/a
Je rentre à la maison,2001,n/a,Manoel de Oliveira,"Michel Piccoli, Catherine Deneuve, John Malkovich",Comedy | Drama,n/a,n/a,n/a,n/a,n/a
Les temps qui changent,2004,n/a,André Téchiné,"Catherine Deneuve, Gérard Depardieu, Gilbert Melki",n/a,n/a,n/a,n/a,n/a,n/a
Cyrano de Bergerac,1990,n/a,Jean-Paul Rappeneau,"Gerard Depardieu, Anne Brochet, Vincent Perez",n/a,n/a,n/a,n/a,n/a,n/a
Le promeneur du champ de Mars,2005,n/a,Robert Guédiguian,Michel Bouquet,n/a,n/a,n/a,n/a,n/a,n/a
Toto le héros,1991,n/a,n/a,Michel Bouquet,Drama,n/a,n/a,n/a,n/a,n/a
Les Misérables,1958,n/a,Jean-Paul Le Chanois,"Jean Gabin, Bernard Blier, Fernand Ledoux",Drama,n/a,n/a,n/a,n/a,n/a
Nouvelle vague,1990,n/a,n/a,Alain Delon,Drama,n/a,n/a,n/a,n/a,n/a
Un conte de Noël,2008,n/a,Arnaud Desplechin,"Catherine Deneuve, Jean-Paul Roussillon, Anne Consigny, Mathieu Amalric, Melvil Poupaud",Comedy | Drama,n/a,n/a,n/a,n/a,n/a
Le Cercle rouge,1970,n/a,Jean-Pierre Melville,"Alain Delon, André Bourvil, Gian Maria Volonté, Yves Montand, André Ekyan, François Périer",Crime | Drama | Thriller,Eric Demarsan,n/a,n/a,Jean-Pierre Melville,n/a
Cavale,2002,n/a,Lucas Belvaux,"Lucas Belvaux, Catherine Frot, Dominique Blanc, Ornella Muti, Gilbert Melki",Thriller | Crime | Drama,n/a,n/a,n/a,n/a,n/a
À bout de souffle,1960,n/a,Jean-Luc Godard,"Jean-Paul Belmondo, Jean Seberg",Crime | Drama | Romance | Thriller,n/a,n/a,n/a,n/a,n/a
Stavisky...,1974,n/a,n/a,Jean-Paul Belmondo,Crime | Drama,n/a,n/a,n/a,n/a,n/a
L'Emmerdeur,1973,n/a,Edouard Molinaro,n/a,Comedy,n/a,n/a,n/a,n/a,n/a
Monte Cristo,1929,n/a,Henri Fescourt,n/a,Adventure | History | Drama,n/a,n/a,n/a,n/a,n/a
